sample_type,N_rate,P_rate,K_rate,global_warming,marine_eutrophication,terrestrial_acidification
OAT_K,135,50,23.1914,5126.637706,0.698993462,26.30066654
OAT_K,135,50,39.6486,5176.278219,0.703614547,26.50479444
OAT_K,135,50,37.9384,5171.119674,0.703134333,26.48358187
OAT_K,135,50,24.9734,5132.012824,0.699493837,26.32276969
OAT_K,135,50,31.3744,5151.320417,0.7012912,26.40216489
OAT_K,135,50,38.4237,5172.583504,0.703270602,26.48960131
OAT_K,135,50,37.8954,5170.989971,0.703122259,26.48304851
OAT_K,135,50,33.8631,5158.827183,0.701990012,26.43303363
OAT_K,135,50,35.3805,5163.404177,0.702416089,26.4518548
OAT_K,135,50,35.3464,5163.30132,0.702406514,26.45143183
OAT_K,135,50,21.0587,5120.204757,0.698394612,26.27421347
OAT_K,135,50,28.4552,5142.515117,0.700471506,26.36595641
OAT_K,135,50,21.1824,5120.577879,0.698429346,26.27574779
OAT_K,135,50,27.1641,5138.62072,0.700108972,26.34994217
OAT_K,135,50,39.7655,5176.630829,0.703647372,26.50624441
OAT_K,135,50,34.569,5160.956417,0.702188225,26.44178931
OAT_K,135,50,31.0071,5150.212515,0.701188064,26.39760906
OAT_K,135,50,39.6684,5176.337942,0.703620107,26.50504003
OAT_K,135,50,35.7001,5164.3682,0.702505831,26.45581897
OAT_K,135,50,33.2216,5156.892201,0.701809883,26.42507675
OAT_K,135,50,31.0797,5150.431502,0.70120845,26.39850956
OAT_K,135,50,34.1817,5159.788189,0.702079473,26.43698541
OAT_K,135,50,34.397,5160.437607,0.702139928,26.43965589
OAT_K,135,50,38.4746,5172.737035,0.703284895,26.49023266
OAT_K,135,50,32.3816,5154.358475,0.701574016,26.41465776
OAT_K,135,50,36.8129,5167.724783,0.702818299,26.46962166
OAT_K,135,50,31.7075,5152.32516,0.701384733,26.40629651
OAT_K,135,50,22.5073,5124.574228,0.69880137,26.29218127
OAT_K,135,50,29.1897,5144.730619,0.700677749,26.37506683
OAT_K,135,50,23.1266,5126.442247,0.698975266,26.29986279
OAT_K,135,50,21.9096,5122.771361,0.69863354,26.28476766
OAT_K,135,50,28.3357,5142.154664,0.700437951,26.36447419
OAT_K,135,50,37.9494,5171.152854,0.703137421,26.48371831
OAT_K,135,50,32.6215,5155.082095,0.701641378,26.41763337
OAT_K,135,50,36.8321,5167.782697,0.70282369,26.46985981
OAT_K,135,50,23.813,5128.512663,0.699168003,26.3083766
OAT_K,135,50,22.645,5124.989578,0.698840036,26.29388924
OAT_K,135,50,26.8934,5137.804197,0.700032961,26.34658453
OAT_K,135,50,31.239,5150.912005,0.70125318,26.40048545
OAT_K,135,50,25.0919,5132.37026,0.699527111,26.32423951
OAT_K,135,50,38.7805,5173.659734,0.703370789,26.49402691
OAT_K,135,50,20.5105,5118.5512,0.698240681,26.26741384
OAT_K,135,50,25.0679,5132.297868,0.699520372,26.32394183
OAT_K,135,50,38.5573,5172.986487,0.703308116,26.49125843
OAT_K,135,50,37.4375,5169.608789,0.702993683,26.47736892
OAT_K,135,50,25.2609,5132.880022,0.699574565,26.32633572
OAT_K,135,50,22.4913,5124.525966,0.698796878,26.29198281
OAT_K,135,50,22.1248,5123.420477,0.698693966,26.28743691
OAT_K,135,50,27.8591,5140.717077,0.700304124,26.35856265
OAT_K,135,50,21.6688,5122.045026,0.698565924,26.28178088
OAT_K,135,50,25.0864,5132.35367,0.699525566,26.32417129
OAT_K,135,50,25.5668,5133.80272,0.69966046,26.33012996
OAT_K,135,50,35.6982,5164.362469,0.702505298,26.45579541
OAT_K,135,50,21.5222,5121.602831,0.69852476,26.27996252
OAT_K,135,50,28.0044,5141.155351,0.700344924,26.36036489
OAT_K,135,50,34.5209,5160.811331,0.702174719,26.44119269
OAT_K,135,50,37.4506,5169.648303,0.702997361,26.47753141
OAT_K,135,50,28.502,5142.656282,0.700484647,26.3665369
OAT_K,135,50,28.1505,5141.596038,0.700385948,26.36217705
OAT_K,135,50,37.7523,5170.558333,0.703082077,26.48127356
OAT_K,135,50,25.7458,5134.342645,0.699710722,26.3323502
OAT_K,135,50,33.8032,5158.646504,0.701973193,26.43229066
OAT_K,135,50,25.8688,5134.713655,0.69974526,26.33387584
OAT_K,135,50,29.4426,5145.493451,0.700748762,26.37820369
OAT_K,135,50,35.2202,5162.920658,0.702371078,26.44986651
OAT_K,135,50,30.3913,5148.355053,0.701015151,26.38997095
